Transaction_ID,Risk_Incident,Risk_Type,Incident_Severity,Error_Code
TXN00001,0,None,None,None
TXN00002,1,Error,Low,E002
TXN00003,0,None,None,None
TXN00004,0,None,None,None
TXN00005,0,None,None,None
TXN00006,0,None,None,None
TXN00007,0,None,None,None
TXN00008,1,Misstatement,Medium,M003
TXN00009,0,None,None,None
TXN00010,0,None,None,None
TXN00011,0,None,None,None
TXN00012,1,Fraud,High,E002
TXN00013,0,None,None,None
TXN00014,0,None,None,None
TXN00015,0,None,None,None
TXN00016,0,None,None,None
TXN00017,0,None,None,None
TXN00018,0,None,None,None
TXN00019,0,None,None,None
TXN00020,0,None,None,None
TXN00021,0,None,None,None
TXN00022,0,None,None,None
TXN00023,0,None,None,None
TXN00024,0,None,None,None
TXN00025,0,None,None,None
TXN00026,0,None,None,None
TXN00027,0,None,None,None
TXN00028,0,None,None,None
TXN00029,0,None,None,None
TXN00030,0,None,None,None
TXN00031,0,None,None,None
TXN00032,0,None,None,None
TXN00033,0,None,None,None
TXN00034,1,Fraud,High,F001
TXN00035,1,Fraud,High,F001
TXN00036,0,None,None,None
TXN00037,0,None,None,None
TXN00038,0,None,None,None
TXN00039,0,None,None,None
TXN00040,0,None,None,None
TXN00041,0,None,None,None
TXN00042,0,None,None,None
TXN00043,0,None,None,None
TXN00044,1,Error,Medium,M003
TXN00045,0,None,None,None
TXN00046,0,None,None,None
TXN00047,0,None,None,None
TXN00048,0,None,None,None
TXN00049,0,None,None,None
TXN00050,0,None,None,None
TXN00051,1,Misstatement,Low,M003
TXN00052,0,None,None,None
TXN00053,1,Error,Low,M003
TXN00054,1,Fraud,High,E002
TXN00055,0,None,None,None
TXN00056,1,Misstatement,Low,F001
TXN00057,0,None,None,None
TXN00058,0,None,None,None
TXN00059,0,None,None,None
TXN00060,0,None,None,None
TXN00061,0,None,None,None
TXN00062,0,None,None,None
TXN00063,0,None,None,None
TXN00064,0,None,None,None
TXN00065,0,None,None,None
TXN00066,0,None,None,None
TXN00067,0,None,None,None
TXN00068,0,None,None,None
TXN00069,0,None,None,None
TXN00070,1,Fraud,Low,F001
TXN00071,0,None,None,None
TXN00072,0,None,None,None
TXN00073,0,None,None,None
TXN00074,0,None,None,None
TXN00075,0,None,None,None
TXN00076,0,None,None,None
TXN00077,0,None,None,None
TXN00078,0,None,None,None
TXN00079,0,None,None,None
TXN00080,0,None,None,None
TXN00081,1,Misstatement,Medium,E002
TXN00082,0,None,None,None
TXN00083,0,None,None,None
TXN00084,0,None,None,None
TXN00085,0,None,None,None
