User_ID,System_Latency,Login_Frequency,Failed_Attempts,IP_Region
U001,299.26,6,2,TH
U233,248.61,4,1,TW
U251,378.61,6,2,BI
U235,242.19,9,3,LV
U500,327.81,4,1,DZ
U008,141.74,4,5,GB
U041,129.93,9,4,SD
U347,177.14,8,3,NP
U175,343.45,9,5,LY
U133,474.56,10,1,CF
U330,238.58,6,5,RS
U096,383,10,2,CU
U338,309.31,2,2,SL
U013,226.95,10,5,IN
U193,474.98,1,5,IR
U494,483.06,6,0,LI
U327,451.88,4,2,SL
U095,179.89,1,5,TW
U096,300.67,10,5,SE
U370,385.05,5,0,IL
U114,135.6,6,4,KN
U044,196.61,9,2,VN
U464,239.64,8,0,LA
U461,258.97,6,2,GM
U149,269.69,10,3,SI
U349,347.05,6,5,CG
U162,489.35,1,3,IN
U381,198.98,9,0,EC
U446,494.8,3,3,UZ
U252,423.15,6,4,SL
U319,317.04,8,1,CR
U343,422.25,3,4,TZ
U359,242.16,4,5,FM
U462,454.09,3,4,BG
U045,314.88,4,4,MT
U329,365.72,1,1,GR
U479,127.32,1,0,GD
U291,361.33,8,4,VA
U311,469.37,1,5,US
U230,230.81,9,1,LA
U081,373.01,7,2,TD
U356,461.58,2,2,SN
U282,377,9,3,SB
U326,340,7,4,GR
U492,399.99,10,1,BR
U500,497.27,5,0,BN
U340,409.97,9,3,SZ
U339,466.45,5,1,AT
U091,272.87,7,3,TR
U471,205.49,8,1,ST
U429,269.83,5,4,ZM
U119,341.1,8,3,CM
U487,353.53,6,0,TV
U470,268.36,3,1,BI
U253,479.59,10,4,LT
U284,336.76,2,3,CA
U481,257.33,5,5,CM
U209,454.13,9,2,CL
U189,474.34,4,5,ET
U332,213.58,6,5,VU
U488,272.65,7,5,MX
U355,444,6,5,TN
U310,434.6,1,5,IS
U109,294.1,9,3,AG
U203,335.94,7,1,RW
U394,176.5,10,1,KZ
U166,292.55,3,5,AD
U176,390.75,3,1,SC
U370,342.48,8,1,PS
U144,494.64,1,1,IT
U380,136.18,3,1,LR
U073,451.09,6,2,MV
U431,152.45,3,1,GH
U413,495.22,6,3,KG
U068,426.7,5,1,NR
U356,297.78,2,3,SG
U014,130.83,2,4,EE
U362,403.6,1,5,CN
U075,371.87,6,1,EG
U492,498.72,6,3,SL
U093,225.12,7,4,LR
U414,388.12,3,5,AT
U421,370.44,5,0,LS
U210,150.88,2,1,MY
U354,103.61,3,2,TR
U313,316.01,7,2,IE
U182,364.16,7,0,FJ
U341,163.54,8,2,SV
U324,466.04,7,2,KE
U181,149.68,9,1,PA
U319,444.18,1,4,BT
U167,246.13,10,3,PT
U365,130.09,5,4,ST
U450,116.59,1,2,FJ
U049,209.61,6,3,TH
U187,240.74,10,2,AO
U112,418.6,7,4,JP
U171,168.61,5,0,IL
U218,221.9,8,2,CN
U378,494.49,1,2,HU
U180,208.26,4,3,UA
U452,375.45,4,2,SV
U144,160.2,7,5,GY
U191,137.54,5,0,GB
U431,234.63,3,3,GN
U218,263.21,5,3,TW
U430,352.87,6,2,SE
U096,194.33,4,1,WS
U317,184.86,3,2,BS
U274,371.25,1,2,BH
U062,114.59,7,0,PA
U405,162.26,6,0,UG
U005,175.44,5,2,UZ
U067,152.59,4,3,PW
U411,151.29,3,4,SI
U466,196.23,7,2,IE
U223,315.38,2,5,LS
U171,481.76,5,5,QA
U353,105.8,4,0,NG
U253,121.46,5,3,CY
U492,297.81,1,5,TJ
U293,225.35,4,2,HN
U142,442.05,8,1,BI
U148,402.69,2,2,MH
U351,435.27,6,1,SG
U490,126.22,3,1,MW
U067,209.46,5,4,HU
U434,163.85,4,1,CU
U422,156.46,2,5,AG
U182,213.23,1,1,NP
U240,219.01,10,2,VE
U339,401.21,2,2,GQ
U197,238.61,6,2,AD
U431,295.14,7,5,IR
